Config,N,Run,StartNode,TimeSec
1,20,1,9,0.203354
1,20,2,16,0.0807895
1,20,3,3,0.0853447
1,20,4,10,0.0902186
1,20,5,17,0.207235
1,20,6,4,0.200744
1,20,7,11,0.0846093
1,20,8,18,0.0909403
1,20,9,5,0.0904696
1,20,10,12,0.206837
2,60,1,9,3.87274
2,60,2,16,3.14038
2,60,3,23,2.66344
2,60,4,37,2.88319
2,60,5,44,4.26308
2,60,6,51,2.82789
2,60,7,58,2.45927
2,60,8,5,2.80395
2,60,9,12,3.53971
2,60,10,26,4.50429
3,100,1,23,14.1933
3,100,2,30,21.2597
3,100,3,44,63.9558
3,100,4,72,95.2655
3,100,5,0,15.6101
3,100,6,14,14.9277
3,100,7,28,20.5384
3,100,8,42,14.1174
3,100,9,49,74.8297
3,100,10,77,18.8952

Config,AverageTimeSec
1,0.134054
2,3.29579
3,35.3593
