ConfigIndex,RunIndex,N,StartNode,SolveTime,Optimal,Gap,ObjectiveValue,AvgTime,OptimalCount
1,1,20,19,0.0884669,1,0,33,,
1,2,20,12,0.0554135,1,0,33,,
1,3,20,7,0.109407,1,0,33,,
1,4,20,15,0.0708029,1,0,33,,
1,5,20,6,0.0649756,1,0,33,,
1,6,20,16,0.122101,1,0,33,,
1,7,20,16,0.107872,1,0,33,,
1,8,20,14,0.112717,1,0,33,,
1,9,20,19,0.111083,1,0,33,,
1,10,20,2,0.185096,1,0,33,,
1,,,,,,,0.102793,10
2,1,20,15,0.131857,1,0,28,,
2,2,20,6,0.0914995,1,0,28,,
2,3,20,16,0.0848518,1,0,28,,
2,4,20,9,0.113438,1,0,28,,
2,5,20,16,0.0850086,1,0,28,,
2,6,20,14,0.102639,1,0,28,,
2,7,20,19,0.113219,1,0,28,,
2,8,20,2,0.109059,1,0,28,,
2,9,20,11,0.088217,1,0,28,,
2,10,20,8,0.125611,1,0,28,,
2,,,,,,,0.10454,10
3,1,60,38,0.893533,1,0,60,,
3,2,60,41,0.157849,1,0,60,,
3,3,60,46,0.1615,1,0,60,,
3,4,60,51,0.190522,1,0,60,,
3,5,60,2,0.191465,1,0,60,,
3,6,60,43,0.777072,1,0,60,,
3,7,60,20,0.410108,1,0,60,,
3,8,60,9,0.581281,1,0,60,,
3,9,60,15,0.222747,1,0,60,,
3,10,60,8,0.178354,1,0,60,,
3,,,,,,,0.376443,10
