ConfigIndex,RunIndex,N,StartNode,SolveTime,Optimal,Gap,ObjectiveValue,AvgTime,OptimalCount
1,1,20,8,0.104867,1,0,33,,
1,2,20,2,0.131468,1,0,33,,
1,3,20,4,0.0676543,1,0,33,,
1,4,20,14,0.08181,1,0,33,,
1,5,20,14,0.0805632,1,0,33,,
1,6,20,18,0.0894183,1,0,33,,
1,7,20,5,0.0673189,1,0,33,,
1,8,20,8,0.0894705,1,0,33,,
1,9,20,7,0.110131,1,0,33,,
1,10,20,16,0.125172,1,0,33,,
1,,,,,,,0.0947873,10
2,1,20,12,0.164388,1,0,28,,
2,2,20,10,0.135246,1,0,28,,
2,3,20,9,0.128077,1,0,28,,
2,4,20,12,0.140207,1,0,28,,
2,5,20,10,0.139082,1,0,28,,
2,6,20,7,0.0910202,1,0,28,,
2,7,20,16,0.0867364,1,0,28,,
2,8,20,10,0.138703,1,0,28,,
2,9,20,4,0.0864814,1,0,28,,
2,10,20,12,0.148645,1,0,28,,
2,,,,,,,0.125859,10
3,1,60,14,0.20517,1,0,60,,
3,2,60,4,0.275155,1,0,60,,
3,3,60,8,0.182143,1,0,60,,
3,4,60,26,0.212777,1,0,60,,
3,5,60,39,0.236199,1,0,60,,
3,6,60,22,0.182959,1,0,60,,
3,7,60,4,0.275669,1,0,60,,
3,8,60,15,0.230618,1,0,60,,
3,9,60,12,0.244231,1,0,60,,
3,10,60,58,0.182808,1,0,60,,
3,,,,,,,0.222773,10
